Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"D2,D1",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
2,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
3,"C10,C9",C_0402_1005Metric,2,1uF,
4,"R5,R7",R_0402_1005Metric,2,1K,
5,"C4,C11,C8,C1,C3,C7,C5,C6,C17,C2,C12",C_0402_1005Metric,11,0.1uF,
6,U2,SOT-23,1,NCP1117-3.3_SOT223,
7,"R2,R1",R_0402_1005Metric,2,5.1K,
8,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_MOD,1,12 MHz,
9,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
10,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
11,"R4,R3",R_0402_1005Metric,2,27,
12,"C16,C15",C_0402_1005Metric,2,33pF,
13,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
14,R6,R_0402_1005Metric,1,10K,
15,"C14,C13",C_0603_1608Metric,2,10uF,
16,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
17,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
