Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,80.04,-75.07,180,top
C2,0.1uF,C_0402_1005Metric,77.93,-81.58,90,top
C3,0.1uF,C_0402_1005Metric,85.72,-80.26,90,top
C4,0.1uF,C_0402_1005Metric,86.68,-80.46,90,top
C5,0.1uF,C_0402_1005Metric,76.91,-86.81,180,top
C6,0.1uF,C_0402_1005Metric,87.31,-86.75,0,top
C7,0.1uF,C_0402_1005Metric,83.8,-74.29,90,top
C8,0.1uF,C_0402_1005Metric,86.87,-81.91,0,top
C9,1uF,C_0402_1005Metric,83.78,-91.04,-90,top
C10,1uF,C_0402_1005Metric,85.849411,-78.320589,45,top
C11,0.1uF,C_0402_1005Metric,84.74,-91.03,-90,top
C12,0.1uF,C_0402_1005Metric,82.82,-77.88,90,top
C13,10uF,C_0603_1608Metric,78.75,-64.36,180,top
C14,10uF,C_0603_1608Metric,78.915,-70.09,180,top
C15,33pF,C_0402_1005Metric,78.54,-93.27,-90,top
C16,33pF,C_0402_1005Metric,83.79,-92.87,90,top
C17,0.1uF,C_0402_1005Metric,83.78,-76.55,90,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.99,-99.45,90,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.96,-99.49,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,82.17,-58.02,180,top
J2,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,91.06,-56.89,0,top
J3,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Vertical,73.28,-56.89,0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,84.66,-104.9,-90,top
R1,5.1K,R_0402_1005Metric,83.45,-64.29,-90,top
R2,5.1K,R_0402_1005Metric,80.81,-65.05,-90,top
R3,27,R_0402_1005Metric,82.87,-80.22,-90,top
R4,27,R_0402_1005Metric,83.84,-80.21,-90,top
R5,1K,R_0402_1005Metric,82.33,-90.86,180,top
R6,10K,R_0402_1005Metric,78.09,-75.74,180,top
R7,1K,R_0402_1005Metric,85.79,-69.93,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,85.83,-66.7,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,82.17,-85.52,0,top
U2,NCP1117-3.3_SOT223,SOT-23,78.91,-67.2075,90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,79.44,-77.6875,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_MOD,81.19,-93.23,0,top
